Order_ID,Date,Customer,Product,Category,Quantity,Unit_Price,Total,Region,Status
ORD-000001,2/2/2024,Customer 1,Wireless Mouse,Accessories,2,46.99,93.98,South,Completed
ORD-000002,3/3/2023,Customer 2,"Monitor 27""",Furniture,3,63.99,191.97,East,Pending
ORD-000003,4/4/2024,Customer 3,Keyboard,Office,4,80.99,323.96,West,Shipped
ORD-000004,5/5/2023,Customer 4,Webcam HD,Electronics,5,97.99,489.95,Central,Processing
ORD-000005,6/6/2024,Customer 5,Headphones,Accessories,6,114.99,689.94,North,Completed
ORD-000006,7/7/2023,Customer 6,USB Hub,Furniture,7,131.99,923.93,South,Completed
ORD-000007,8/8/2024,Customer 7,Desk Chair,Office,8,148.99,1191.92,East,Pending
ORD-000008,9/9/2023,Customer 8,Standing Desk,Electronics,9,165.99,1493.91,West,Shipped
ORD-000009,10/10/2024,Customer 9,Tablet,Accessories,10,182.99,1829.9,Central,Processing
ORD-000010,11/11/2023,Customer 10,Laptop Pro,Furniture,11,199.99,2199.89,North,Completed
ORD-000011,12/12/2024,Customer 11,Wireless Mouse,Office,12,216.99,2603.88,South,Completed
ORD-000012,1/13/2023,Customer 12,"Monitor 27""",Electronics,13,233.99,3041.87,East,Pending
ORD-000013,2/14/2024,Customer 13,Keyboard,Accessories,14,250.99,3513.86,West,Shipped
ORD-000014,3/15/2023,Customer 14,Webcam HD,Furniture,15,267.99,4019.85,Central,Processing
ORD-000015,4/16/2024,Customer 15,Headphones,Office,16,284.99,4559.84,North,Completed
ORD-000016,5/17/2023,Customer 16,USB Hub,Electronics,17,301.99,5133.83,South,Completed
ORD-000017,6/18/2024,Customer 17,Desk Chair,Accessories,18,318.99,5741.82,East,Pending
ORD-000018,7/19/2023,Customer 18,Standing Desk,Furniture,19,335.99,6383.81,West,Shipped
ORD-000019,8/20/2024,Customer 19,Tablet,Office,20,352.99,7059.8,Central,Processing
ORD-000020,9/21/2023,Customer 20,Laptop Pro,Electronics,1,369.99,369.99,North,Completed
ORD-000021,10/22/2024,Customer 21,Wireless Mouse,Accessories,2,386.99,773.98,South,Completed
ORD-000022,11/23/2023,Customer 22,"Monitor 27""",Furniture,3,403.99,1211.97,East,Pending
ORD-000023,12/24/2024,Customer 23,Keyboard,Office,4,420.99,1683.96,West,Shipped
ORD-000024,1/25/2023,Customer 24,Webcam HD,Electronics,5,437.99,2189.95,Central,Processing
ORD-000025,2/26/2024,Customer 25,Headphones,Accessories,6,454.99,2729.94,North,Completed
ORD-000026,3/27/2023,Customer 26,USB Hub,Furniture,7,471.99,3303.93,South,Completed
ORD-000027,4/28/2024,Customer 27,Desk Chair,Office,8,488.99,3911.92,East,Pending
ORD-000028,5/1/2023,Customer 28,Standing Desk,Electronics,9,505.99,4553.91,West,Shipped
ORD-000029,6/2/2024,Customer 29,Tablet,Accessories,10,522.99,5229.9,Central,Processing
ORD-000030,7/3/2023,Customer 30,Laptop Pro,Furniture,11,39.99,439.89,North,Completed
ORD-000031,8/4/2024,Customer 31,Wireless Mouse,Office,12,56.99,683.88,South,Completed
ORD-000032,9/5/2023,Customer 32,"Monitor 27""",Electronics,13,73.99,961.87,East,Pending
ORD-000033,10/6/2024,Customer 33,Keyboard,Accessories,14,90.99,1273.86,West,Shipped
ORD-000034,11/7/2023,Customer 34,Webcam HD,Furniture,15,107.99,1619.85,Central,Processing
ORD-000035,12/8/2024,Customer 35,Headphones,Office,16,124.99,1999.84,North,Completed
ORD-000036,1/9/2023,Customer 36,USB Hub,Electronics,17,141.99,2413.83,South,Completed
ORD-000037,2/10/2024,Customer 37,Desk Chair,Accessories,18,158.99,2861.82,East,Pending
ORD-000038,3/11/2023,Customer 38,Standing Desk,Furniture,19,175.99,3343.81,West,Shipped
ORD-000039,4/12/2024,Customer 39,Tablet,Office,20,192.99,3859.8,Central,Processing
ORD-000040,5/13/2023,Customer 40,Laptop Pro,Electronics,1,209.99,209.99,North,Completed
ORD-000041,6/14/2024,Customer 41,Wireless Mouse,Accessories,2,226.99,453.98,South,Completed
ORD-000042,7/15/2023,Customer 42,"Monitor 27""",Furniture,3,243.99,731.97,East,Pending
ORD-000043,8/16/2024,Customer 43,Keyboard,Office,4,260.99,1043.96,West,Shipped
ORD-000044,9/17/2023,Customer 44,Webcam HD,Electronics,5,277.99,1389.95,Central,Processing
ORD-000045,10/18/2024,Customer 45,Headphones,Accessories,6,294.99,1769.94,North,Completed
ORD-000046,11/19/2023,Customer 46,USB Hub,Furniture,7,311.99,2183.93,South,Completed
ORD-000047,12/20/2024,Customer 47,Desk Chair,Office,8,328.99,2631.92,East,Pending
ORD-000048,1/21/2023,Customer 48,Standing Desk,Electronics,9,345.99,3113.91,West,Shipped
ORD-000049,2/22/2024,Customer 49,Tablet,Accessories,10,362.99,3629.9,Central,Processing
ORD-000050,3/23/2023,Customer 50,Laptop Pro,Furniture,11,379.99,4179.89,North,Completed
ORD-000051,4/24/2024,Customer 51,Wireless Mouse,Office,12,396.99,4763.88,South,Completed
ORD-000052,5/25/2023,Customer 52,"Monitor 27""",Electronics,13,413.99,5381.87,East,Pending
ORD-000053,6/26/2024,Customer 53,Keyboard,Accessories,14,430.99,6033.86,West,Shipped
ORD-000054,7/27/2023,Customer 54,Webcam HD,Furniture,15,447.99,6719.85,Central,Processing
ORD-000055,8/28/2024,Customer 55,Headphones,Office,16,464.99,7439.84,North,Completed
ORD-000056,9/1/2023,Customer 56,USB Hub,Electronics,17,481.99,8193.83,South,Completed
ORD-000057,10/2/2024,Customer 57,Desk Chair,Accessories,18,498.99,8981.82,East,Pending
ORD-000058,11/3/2023,Customer 58,Standing Desk,Furniture,19,515.99,9803.81,West,Shipped
ORD-000059,12/4/2024,Customer 59,Tablet,Office,20,32.99,659.8,Central,Processing
ORD-000060,1/5/2023,Customer 60,Laptop Pro,Electronics,1,49.99,49.99,North,Completed
ORD-000061,2/6/2024,Customer 61,Wireless Mouse,Accessories,2,66.99,133.98,South,Completed
ORD-000062,3/7/2023,Customer 62,"Monitor 27""",Furniture,3,83.99,251.97,East,Pending
ORD-000063,4/8/2024,Customer 63,Keyboard,Office,4,100.99,403.96,West,Shipped
ORD-000064,5/9/2023,Customer 64,Webcam HD,Electronics,5,117.99,589.95,Central,Processing
ORD-000065,6/10/2024,Customer 65,Headphones,Accessories,6,134.99,809.94,North,Completed
ORD-000066,7/11/2023,Customer 66,USB Hub,Furniture,7,151.99,1063.93,South,Completed
ORD-000067,8/12/2024,Customer 67,Desk Chair,Office,8,168.99,1351.92,East,Pending
ORD-000068,9/13/2023,Customer 68,Standing Desk,Electronics,9,185.99,1673.91,West,Shipped
ORD-000069,10/14/2024,Customer 69,Tablet,Accessories,10,202.99,2029.9,Central,Processing
ORD-000070,11/15/2023,Customer 70,Laptop Pro,Furniture,11,219.99,2419.89,North,Completed
ORD-000071,12/16/2024,Customer 71,Wireless Mouse,Office,12,236.99,2843.88,South,Completed
ORD-000072,1/17/2023,Customer 72,"Monitor 27""",Electronics,13,253.99,3301.87,East,Pending
ORD-000073,2/18/2024,Customer 73,Keyboard,Accessories,14,270.99,3793.86,West,Shipped
ORD-000074,3/19/2023,Customer 74,Webcam HD,Furniture,15,287.99,4319.85,Central,Processing
ORD-000075,4/20/2024,Customer 75,Headphones,Office,16,304.99,4879.84,North,Completed
ORD-000076,5/21/2023,Customer 76,USB Hub,Electronics,17,321.99,5473.83,South,Completed
ORD-000077,6/22/2024,Customer 77,Desk Chair,Accessories,18,338.99,6101.82,East,Pending
ORD-000078,7/23/2023,Customer 78,Standing Desk,Furniture,19,355.99,6763.81,West,Shipped
ORD-000079,8/24/2024,Customer 79,Tablet,Office,20,372.99,7459.8,Central,Processing
ORD-000080,9/25/2023,Customer 80,Laptop Pro,Electronics,1,389.99,389.99,North,Completed
ORD-000081,10/26/2024,Customer 81,Wireless Mouse,Accessories,2,406.99,813.98,South,Completed
ORD-000082,11/27/2023,Customer 82,"Monitor 27""",Furniture,3,423.99,1271.97,East,Pending
ORD-000083,12/28/2024,Customer 83,Keyboard,Office,4,440.99,1763.96,West,Shipped
ORD-000084,1/1/2023,Customer 84,Webcam HD,Electronics,5,457.99,2289.95,Central,Processing
ORD-000085,2/2/2024,Customer 85,Headphones,Accessories,6,474.99,2849.94,North,Completed
ORD-000086,3/3/2023,Customer 86,USB Hub,Furniture,7,491.99,3443.93,South,Completed
ORD-000087,4/4/2024,Customer 87,Desk Chair,Office,8,508.99,4071.92,East,Pending
ORD-000088,5/5/2023,Customer 88,Standing Desk,Electronics,9,525.99,4733.91,West,Shipped
ORD-000089,6/6/2024,Customer 89,Tablet,Accessories,10,42.99,429.9,Central,Processing
ORD-000090,7/7/2023,Customer 90,Laptop Pro,Furniture,11,59.99,659.89,North,Completed
ORD-000091,8/8/2024,Customer 91,Wireless Mouse,Office,12,76.99,923.88,South,Completed
ORD-000092,9/9/2023,Customer 92,"Monitor 27""",Electronics,13,93.99,1221.87,East,Pending
ORD-000093,10/10/2024,Customer 93,Keyboard,Accessories,14,110.99,1553.86,West,Shipped
ORD-000094,11/11/2023,Customer 94,Webcam HD,Furniture,15,127.99,1919.85,Central,Processing
ORD-000095,12/12/2024,Customer 95,Headphones,Office,16,144.99,2319.84,North,Completed
ORD-000096,1/13/2023,Customer 96,USB Hub,Electronics,17,161.99,2753.83,South,Completed
ORD-000097,2/14/2024,Customer 97,Desk Chair,Accessories,18,178.99,3221.82,East,Pending
ORD-000098,3/15/2023,Customer 98,Standing Desk,Furniture,19,195.99,3723.81,West,Shipped
ORD-000099,4/16/2024,Customer 99,Tablet,Office,20,212.99,4259.8,Central,Processing
ORD-000100,5/17/2023,Customer 100,Laptop Pro,Electronics,1,229.99,229.99,North,Completed
ORD-000101,6/18/2024,Customer 101,Wireless Mouse,Accessories,2,246.99,493.98,South,Completed
ORD-000102,7/19/2023,Customer 102,"Monitor 27""",Furniture,3,263.99,791.97,East,Pending
ORD-000103,8/20/2024,Customer 103,Keyboard,Office,4,280.99,1123.96,West,Shipped
ORD-000104,9/21/2023,Customer 104,Webcam HD,Electronics,5,297.99,1489.95,Central,Processing
ORD-000105,10/22/2024,Customer 105,Headphones,Accessories,6,314.99,1889.94,North,Completed
ORD-000106,11/23/2023,Customer 106,USB Hub,Furniture,7,331.99,2323.93,South,Completed
ORD-000107,12/24/2024,Customer 107,Desk Chair,Office,8,348.99,2791.92,East,Pending
ORD-000108,1/25/2023,Customer 108,Standing Desk,Electronics,9,365.99,3293.91,West,Shipped
ORD-000109,2/26/2024,Customer 109,Tablet,Accessories,10,382.99,3829.9,Central,Processing
ORD-000110,3/27/2023,Customer 110,Laptop Pro,Furniture,11,399.99,4399.89,North,Completed
ORD-000111,4/28/2024,Customer 111,Wireless Mouse,Office,12,416.99,5003.88,South,Completed
ORD-000112,5/1/2023,Customer 112,"Monitor 27""",Electronics,13,433.99,5641.87,East,Pending
ORD-000113,6/2/2024,Customer 113,Keyboard,Accessories,14,450.99,6313.86,West,Shipped
ORD-000114,7/3/2023,Customer 114,Webcam HD,Furniture,15,467.99,7019.85,Central,Processing
ORD-000115,8/4/2024,Customer 115,Headphones,Office,16,484.99,7759.84,North,Completed
ORD-000116,9/5/2023,Customer 116,USB Hub,Electronics,17,501.99,8533.83,South,Completed
ORD-000117,10/6/2024,Customer 117,Desk Chair,Accessories,18,518.99,9341.82,East,Pending
ORD-000118,11/7/2023,Customer 118,Standing Desk,Furniture,19,35.99,683.81,West,Shipped
ORD-000119,12/8/2024,Customer 119,Tablet,Office,20,52.99,1059.8,Central,Processing
ORD-000120,1/9/2023,Customer 120,Laptop Pro,Electronics,1,69.99,69.99,North,Completed
ORD-000121,2/10/2024,Customer 121,Wireless Mouse,Accessories,2,86.99,173.98,South,Completed
ORD-000122,3/11/2023,Customer 122,"Monitor 27""",Furniture,3,103.99,311.97,East,Pending
ORD-000123,4/12/2024,Customer 123,Keyboard,Office,4,120.99,483.96,West,Shipped
ORD-000124,5/13/2023,Customer 124,Webcam HD,Electronics,5,137.99,689.95,Central,Processing
ORD-000125,6/14/2024,Customer 125,Headphones,Accessories,6,154.99,929.94,North,Completed
ORD-000126,7/15/2023,Customer 126,USB Hub,Furniture,7,171.99,1203.93,South,Completed
ORD-000127,8/16/2024,Customer 127,Desk Chair,Office,8,188.99,1511.92,East,Pending
ORD-000128,9/17/2023,Customer 128,Standing Desk,Electronics,9,205.99,1853.91,West,Shipped
ORD-000129,10/18/2024,Customer 129,Tablet,Accessories,10,222.99,2229.9,Central,Processing
ORD-000130,11/19/2023,Customer 130,Laptop Pro,Furniture,11,239.99,2639.89,North,Completed
ORD-000131,12/20/2024,Customer 131,Wireless Mouse,Office,12,256.99,3083.88,South,Completed
ORD-000132,1/21/2023,Customer 132,"Monitor 27""",Electronics,13,273.99,3561.87,East,Pending
ORD-000133,2/22/2024,Customer 133,Keyboard,Accessories,14,290.99,4073.86,West,Shipped
ORD-000134,3/23/2023,Customer 134,Webcam HD,Furniture,15,307.99,4619.85,Central,Processing
ORD-000135,4/24/2024,Customer 135,Headphones,Office,16,324.99,5199.84,North,Completed
ORD-000136,5/25/2023,Customer 136,USB Hub,Electronics,17,341.99,5813.83,South,Completed
ORD-000137,6/26/2024,Customer 137,Desk Chair,Accessories,18,358.99,6461.82,East,Pending
ORD-000138,7/27/2023,Customer 138,Standing Desk,Furniture,19,375.99,7143.81,West,Shipped
